"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region","obs_mean","nplots"
"1",0.226220293270129,0.196701936811804,0.0302833754893574,0.0989327694548966,0.170504870878379,0.28964587087337,0.749000603715573,1.00098491454334,4009,0,1,"n_densityk[1,1,1]",1,"1",1,"AMGP","1.1",0.40650406504065,41
"2",0.132790539694719,0.27828166378804,0.00136853583885217,0.0173934428178939,0.0525683121818878,0.141676032618501,0.76033972700984,1.03922282704591,1305,0,1,"n_densityk[2,1,1]",2,"1",1,"BASA","1.1",0,41
"3",0.139267927876243,0.174487489002131,0.00641415425246703,0.0377800731608905,0.08534597201524,0.177200446442268,0.587809169578015,1.00089476930802,2777,0,1,"n_densityk[3,1,1]",3,"1",1,"BBPL","1.1",0.203252032520325,41
"4",0.0476529123328733,0.114672079541325,0.000128516217373979,0.00352060684640878,0.0137117985246838,0.045983006486481,0.303562261080119,1.00391252218465,8225,0,1,"n_densityk[4,1,1]",4,"1",1,"BBSA","1.1",0,41
"5",0.761638713217052,0.575484605215637,0.150185111572775,0.384855997743933,0.61262900214566,0.95961378186477,2.26607904969048,1.00039184692822,15000,0,1,"n_densityk[5,1,1]",5,"1",1,"DUNL","1.1",1.01626016260163,41
"6",0.906253926644564,0.797991166443418,0.169935375657897,0.427440481956222,0.689656505801265,1.11837855891492,2.98833952021318,1.00312389442606,8962,0,1,"n_densityk[6,1,1]",6,"1",1,"LESA","1.1",2.4390243902439,41
"7",0.129850309389612,0.174866799359196,0.00299378192484811,0.0278720465859936,0.0721044077127281,0.160863391614069,0.600814890073418,1.0001064193175,10541,0,1,"n_densityk[7,1,1]",7,"1",1,"PESA","1.1",0,41
"8",0.0237719516207227,0.0566408365228513,3.09127812698521e-05,0.00124473827048713,0.0058144074697206,0.0217016755268028,0.161898479614107,1.00416857459125,3349,0,1,"n_densityk[8,1,1]",8,"1",1,"REKN","1.1",0,41
"9",0.0388961434609016,0.0710756441627507,7.55406568340432e-05,0.00291224240581718,0.012985738025638,0.0440097407934424,0.231746708166654,1.0010327200532,15000,0,1,"n_densityk[9,1,1]",9,"1",1,"REPH","1.1",0,41
"10",0.336342579787437,0.32804635698923,0.0417902625994456,0.131137280224579,0.236454203149613,0.424011884622607,1.20847426292215,1.0025476009804,12201,0,1,"n_densityk[10,1,1]",10,"1",1,"RNPH","1.1",1.6260162601626,41
"11",0.0488141614648973,0.136194017432124,6.53941116767591e-05,0.00260682665187455,0.0117742853753905,0.0431742754689956,0.32110328743808,1.0211860301203,2950,0,1,"n_densityk[11,1,1]",11,"1",1,"RUTU","1.1",0,41
"12",0.125003891072515,0.223697671229968,0.0019139890298178,0.0218628201990829,0.0592386349135962,0.143304402784084,0.623965976707139,1.00007304703581,15000,0,1,"n_densityk[12,1,1]",12,"1",1,"SAND","1.1",0,41
"13",5.22878291765092,4.44903874718455,1.18077721891639,2.62795123649104,4.05715568052893,6.3238335329448,16.2989817858297,1.0011862717629,4576,0,1,"n_densityk[13,1,1]",13,"1",1,"SEPL","1.1",3.86178861788618,41
"14",6.04598762251883,2.43361084011872,2.65643114065232,4.33448624532741,5.60740908542637,7.25320417496452,12.0444580168438,1.00042487006804,5275,0,1,"n_densityk[14,1,1]",14,"1",1,"SESA","1.1",12.269647696477,41
"15",0.0512368419263772,0.0907646146240969,0.000310039222381472,0.00601041745705737,0.0203698654196422,0.0584120145777352,0.293155005968012,1.00008457090845,15000,0,1,"n_densityk[15,1,1]",15,"1",1,"STSA","1.1",0,41
"16",0.226424315071606,0.18747520924147,0.0302382777761486,0.101012477898913,0.177559207599166,0.291155668100454,0.701032996643434,1.00029073468068,9823,0,1,"n_densityk[16,1,1]",16,"1",1,"WISN","1.1",0.609756097560976,41
"17",3.29221436325281,1.66941838953318,1.14623241284438,2.13915877547948,2.93527169855594,4.06557035363454,7.44286330729985,1.00051077001369,6657,0,1,"n_densityk[17,1,1]",17,"1",1,"WRSA","1.1",5.48780487804878,41
"18",2.56882743684686,11.3045173119147,0.0192851130329339,0.202045011319818,0.614118611814833,1.87075133247175,15.72948595278,1.08816761766762,4501,0,1,"n_densityk[1,2,1]",1,"2",1,"AMGP","1.1",NA,0
"19",2.30436918427519,25.1090696966719,0.00250595685350147,0.0505293020234858,0.204911656254158,0.810468943548571,13.214556484859,1.16038942413518,15000,0,1,"n_densityk[2,2,1]",2,"2",1,"BASA","1.1",NA,0
"20",0.989348616802939,11.5201033327056,0.000584828816192014,0.0135871742700624,0.0624069022811068,0.281473753869265,5.64129766895573,1.10226290555221,9097,0,1,"n_densityk[3,2,1]",3,"2",1,"BBPL","1.1",NA,0
"21",0.860759832326997,11.2042721985706,0.000161053927037703,0.00613353759874295,0.0342609988793619,0.166372990253609,4.36141536166541,1.1868835276448,3249,0,1,"n_densityk[4,2,1]",4,"2",1,"BBSA","1.1",NA,0
"22",4.60765572100803,52.9965177375727,0.0025187143308293,0.0574064247364948,0.27917322194795,1.30630371383934,23.6873533367618,1.06839994731869,15000,0,1,"n_densityk[5,2,1]",5,"2",1,"DUNL","1.1",NA,0
"23",3.03250558923187,130.236582990832,0.000522433476077475,0.0153030421844491,0.0800189631524269,0.39831795558661,9.04149447208571,1.24368831210881,15000,0,1,"n_densityk[6,2,1]",6,"2",1,"LESA","1.1",NA,0
"24",6.69623875368606,46.7833944811085,0.00844151597403253,0.151985822589007,0.646290737168591,2.70350746639336,42.0906400138359,1.05901917955099,14035,0,1,"n_densityk[7,2,1]",7,"2",1,"PESA","1.1",NA,0
"25",0.674709086948711,27.9656166921398,4.33244915821704e-05,0.00211218485325232,0.0131399246418791,0.0802181193240497,2.21308643975282,1.26588001234264,15000,0,1,"n_densityk[8,2,1]",8,"2",1,"REKN","1.1",NA,0
"26",93.3821799588247,4429.41491316743,0.000209454783655696,0.0228352575729647,0.227349537830607,2.28452470073073,199.825072035834,1.27745945176592,9830,0,1,"n_densityk[9,2,1]",9,"2",1,"REPH","1.1",NA,0
"27",6.62784214687211,289.019732747638,0.000230176435188665,0.0108911327352158,0.0709653823209876,0.470369399582063,16.6394230814249,1.28511401377727,9197,0,1,"n_densityk[10,2,1]",10,"2",1,"RNPH","1.1",NA,0
"28",6.18676257342201,229.44142748842,0.00012331647039259,0.00720171211238977,0.0520881918414213,0.364541979976971,16.9667373591094,1.24660983625969,15000,0,1,"n_densityk[11,2,1]",11,"2",1,"RUTU","1.1",NA,0
"29",0.498579821395315,3.59728925461928,0.0023597999621881,0.0317406472602388,0.100051854844578,0.305057325960186,2.87768502243255,1.13772127386783,10364,0,1,"n_densityk[12,2,1]",12,"2",1,"SAND","1.1",NA,0
"30",1.26307684877769,19.7496906675864,0.000312203550794579,0.0100348504200921,0.0566196781449046,0.304993135195127,6.70088798636331,1.07074185419507,15000,0,1,"n_densityk[13,2,1]",13,"2",1,"SEPL","1.1",NA,0
"31",8.4317339904273,76.4853578690186,0.00885008865591972,0.157637758051362,0.70954393695786,2.90335789059567,48.8938683725126,1.02652396536686,15000,0,1,"n_densityk[14,2,1]",14,"2",1,"SESA","1.1",NA,0
"32",1.24827297350432,18.5754840608495,0.000514470023213395,0.0140510530162168,0.0692461720606799,0.318625373902225,6.50321790960844,1.11616370974419,15000,0,1,"n_densityk[15,2,1]",15,"2",1,"STSA","1.1",NA,0
"33",0.243241330834434,2.93407803952873,6.38618572165103e-05,0.00228698805419354,0.0121401992172867,0.0609885293012263,1.23478671665065,1.00681034897132,15000,0,1,"n_densityk[16,2,1]",16,"2",1,"WISN","1.1",NA,0
"34",61.4624794704429,1293.15917634445,0.00244014711499447,0.124242434387952,0.877961314934109,5.8563214903682,253.319720768086,1.11379002985662,15000,0,1,"n_densityk[17,2,1]",17,"2",1,"WRSA","1.1",NA,0
"35",0.0434370972356175,0.0469717653566198,0.00243475826994517,0.0135925737879407,0.0289835677173509,0.0565046668009,0.168211580424858,1.0002639114294,15000,0,1,"n_densityk[1,3,1]",1,"3",1,"AMGP","1.1",0,67
"36",0.0686360992247694,0.120504940264881,0.000914968807424329,0.0106507330601735,0.030309523632951,0.0769705340267087,0.380835425542431,1.00183759920451,3532,0,1,"n_densityk[2,3,1]",2,"3",1,"BASA","1.1",0,67
"37",0.0220383773314284,0.0364838859729674,0.000173759363417817,0.00289079960156521,0.00937410865801135,0.0253531145709319,0.118823888457828,1.00204421736267,8680,0,1,"n_densityk[3,3,1]",3,"3",1,"BBPL","1.1",0,67
