"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region","obs_mean","nplots"
"1",0.248405746761786,0.218457451191891,0.0328875901195637,0.107348711805147,0.186209481678479,0.32033796521978,0.835215055400089,1.00117763521382,3809,0,1,"n_density[1,1,1]",1,"1",1,"AMGP","1.1",0.40650406504065,41
"2",0.143383949627004,0.338624687214532,0.00143703072113283,0.0185153075412014,0.0562875693458176,0.151076646987327,0.806562764700828,1.07437804361268,1388,0,1,"n_density[2,1,1]",2,"1",1,"BASA","1.1",0,41
"3",0.149812142055179,0.19365413131214,0.00660761237863954,0.0399472662124415,0.0906955908312691,0.187628619983144,0.638548585970098,1.00071577529529,2876,0,1,"n_density[3,1,1]",3,"1",1,"BBPL","1.1",0.203252032520325,41
"4",0.0500346288698072,0.124216895755755,0.000132643007438869,0.00359351023711572,0.0141312243887355,0.0472590464910689,0.31681580527537,1.00266806969567,9046,0,1,"n_density[4,1,1]",4,"1",1,"BBSA","1.1",0,41
"5",0.759036295977232,0.588856444046255,0.149024266816732,0.378597606083492,0.605036819122444,0.950502962266666,2.29400337144205,1.00107919061447,8752,0,1,"n_density[5,1,1]",5,"1",1,"DUNL","1.1",1.01626016260163,41
"6",0.941649207608051,0.853350052502034,0.168585762037062,0.436368620915351,0.712158155034363,1.1650999456139,3.07931783859442,1.00408067326272,13160,0,1,"n_density[6,1,1]",6,"1",1,"LESA","1.1",2.4390243902439,41
"7",0.141419892962061,0.191885638860775,0.00321977115223068,0.0301685185325511,0.0780827755478783,0.17483608522925,0.664372510411178,1.00038222123794,8950,0,1,"n_density[7,1,1]",7,"1",1,"PESA","1.1",0,41
"8",0.0242577877009663,0.0576695543587293,3.19509013123038e-05,0.00126670350765216,0.00592866901855372,0.0217957867794092,0.165771437616994,1.00535222464693,3049,0,1,"n_density[8,1,1]",8,"1",1,"REKN","1.1",0,41
"9",0.0386789528741257,0.0711524382289351,7.36360145930298e-05,0.00286952671100568,0.0128833468560465,0.0434211894900206,0.230607843637888,1.00134011394206,15000,0,1,"n_density[9,1,1]",9,"1",1,"REPH","1.1",0,41
"10",0.365499475501626,0.367512955415153,0.0337573928969606,0.13523519893715,0.253013343326219,0.465195646773926,1.36057549430037,1.00104679285678,9620,0,1,"n_density[10,1,1]",10,"1",1,"RNPH","1.1",1.6260162601626,41
"11",0.0468597210889159,0.122438523809473,6.62863328751243e-05,0.00252898471730276,0.011941032630404,0.0425484332623975,0.318673899308066,1.00760178745484,5261,0,1,"n_density[11,1,1]",11,"1",1,"RUTU","1.1",0,41
"12",0.147693424292423,0.308107461476827,0.00199121410727879,0.0228835392049752,0.0636688825463894,0.157931539646477,0.780317363591273,1.03999708942305,2015,0,1,"n_density[12,1,1]",12,"1",1,"SAND","1.1",0,41
"13",5.58253451968586,4.6508338684203,1.23389688871583,2.75424633868113,4.30343513542502,6.80277120597436,17.7739133588279,1.00272063958289,2899,0,1,"n_density[13,1,1]",13,"1",1,"SEPL","1.1",3.86178861788618,41
"14",6.43275170522992,2.64977068960435,2.76749832290558,4.56863876256204,5.9333460066822,7.72049533652938,12.9109305177271,1.00048400807442,4740,0,1,"n_density[14,1,1]",14,"1",1,"SESA","1.1",12.269647696477,41
"15",0.0524971995325238,0.0940316156295581,0.000319465111793761,0.0060541840190351,0.0207993676845154,0.059770734756077,0.299845511021781,1.00022641907675,15000,0,1,"n_density[15,1,1]",15,"1",1,"STSA","1.1",0,41
"16",0.228997274605007,0.191076594181078,0.0302287442361,0.101945582952027,0.178360528514733,0.295249021776853,0.714519564758257,1.00051097135771,10535,0,1,"n_density[16,1,1]",16,"1",1,"WISN","1.1",0.609756097560976,41
"17",3.27178896459056,1.68063364479179,1.10168592226967,2.10723602903657,2.91355240372148,4.04486704799408,7.52459715084757,1.00074289256166,5840,0,1,"n_density[17,1,1]",17,"1",1,"WRSA","1.1",5.48780487804878,41
"18",2.80697848306461,12.2028271535952,0.0210186418189528,0.218283955497647,0.666165068684583,2.04318697004571,17.3153045131929,1.09251237829258,4331,0,1,"n_density[1,2,1]",1,"2",1,"AMGP","1.1",NA,0
"19",2.56015497158283,32.786811969381,0.0026668299548526,0.053018585774197,0.221663661625543,0.884295131367041,13.6744525520087,1.20780388284543,15000,0,1,"n_density[2,2,1]",2,"2",1,"BASA","1.1",NA,0
"20",1.08262395264479,13.6151665265078,0.000597547372862627,0.0142735705011218,0.066520939617918,0.299118253666952,5.92378992487923,1.06325318684873,14702,0,1,"n_density[3,2,1]",3,"2",1,"BBPL","1.1",NA,0
"21",0.978781244782093,17.0357902036112,0.000158693443719723,0.0063114700515076,0.034965466215014,0.173404313051874,4.53950891605415,1.23535097715238,4094,0,1,"n_density[4,2,1]",4,"2",1,"BBSA","1.1",NA,0
"22",4.60248264264559,53.6360593394073,0.0025773479683084,0.0566883193932726,0.27660438268385,1.29001426929842,23.8939931569662,1.07044799440577,15000,0,1,"n_density[5,2,1]",5,"2",1,"DUNL","1.1",NA,0
"23",3.2004770491689,138.232860598587,0.000530157422058976,0.0156909464641439,0.0825531312009763,0.405249347893743,9.10866066871219,1.23527326173117,15000,0,1,"n_density[6,2,1]",6,"2",1,"LESA","1.1",NA,0
"24",7.25584568638811,50.5971248656452,0.0093153937330851,0.166394502266566,0.706914854911733,2.95578811826944,45.5175950109394,1.05396351001736,14578,0,1,"n_density[7,2,1]",7,"2",1,"PESA","1.1",NA,0
