"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node"
"n_uncor[9,1,9]",0.0535521786882853,0.217369181318011,1.22323774924972e-05,0.00165722645023552,0.0101324484082919,0.0431522834683703,0.365859420778539,1.07287172827042,6897,0,1,"n_uncor[9,1,9]"
"n_uncor[10,1,9]",0.833366529615812,0.564368263306544,0.18903339679075,0.448814530952008,0.696116883348349,1.05106246434454,2.26383927166566,1.00152840829241,1413,0,1,"n_uncor[10,1,9]"
"n_uncor[11,1,9]",0.0578174278085083,0.115260924512562,5.46424769290887e-05,0.00395473430266785,0.0183942438400857,0.0629451228128693,0.347746541693823,1.00499336926262,2665,0,1,"n_uncor[11,1,9]"
"n_uncor[12,1,9]",0.11642131844681,0.139493862078341,0.00488545351718155,0.031694550253362,0.0720290277122532,0.149694357107323,0.493764086498837,1.00141129903888,2180,0,1,"n_uncor[12,1,9]"
"n_uncor[13,1,9]",0.270388706303828,0.30482348874664,0.0129999683601989,0.0801057234893383,0.173432391029756,0.351453588985371,1.083103156369,1.00149406868949,3613,0,1,"n_uncor[13,1,9]"
"n_uncor[1,2,9]",0.574264205713551,0.626594237052572,0.0447388166941566,0.19717175337117,0.385099082438858,0.725917597436977,2.2361967232795,1.00143241860212,3750,0,1,"n_uncor[1,2,9]"
"n_uncor[2,2,9]",0.104742215034784,0.353172558013153,7.8234344010638e-05,0.00477898401936574,0.0229184911356459,0.0864103953906346,0.710922003001704,1.00109543894616,11164,0,1,"n_uncor[2,2,9]"
"n_uncor[3,2,9]",9.28114304331164,8.65385781992384,1.6162575005228,4.06164278565003,6.77464814054727,11.3531618596831,31.8078994748507,1.02604695496195,146,0,1,"n_uncor[3,2,9]"
"n_uncor[4,2,9]",0.182629119037918,1.05802445187841,3.83658019383966e-05,0.00348653654383781,0.0221339454875051,0.10420991826919,1.25141351596084,1.05645477473926,5516,0,1,"n_uncor[4,2,9]"
"n_uncor[5,2,9]",3.91963645349769,3.97005911399533,0.50399577715933,1.57683860281933,2.77549321195835,4.90136787980285,13.9113431203031,1.00559786097819,810,0,1,"n_uncor[5,2,9]"
"n_uncor[6,2,9]",0.10730027538017,0.250580811247422,2.40037106660699e-05,0.0033932247756005,0.0222598740566179,0.0958990377364296,0.754447767640467,1.00992348229405,2325,0,1,"n_uncor[6,2,9]"
"n_uncor[7,2,9]",3.38688281021794,4.56786244810261,0.258117846235488,0.99936858090707,2.00364191991516,3.97042332685665,15.1760099222916,1.00964310380537,425,0,1,"n_uncor[7,2,9]"
"n_uncor[8,2,9]",0.308367378753461,1.65004457581114,1.24924416214655e-05,0.00289499332603844,0.0249805071556386,0.147730419293666,2.25337696452105,1.00674269580913,11148,0,1,"n_uncor[8,2,9]"
"n_uncor[9,2,9]",0.126883183922835,0.584822563716896,1.72721843996405e-05,0.00288425713569319,0.0189135593347209,0.0825536326147072,0.876104415243106,1.01469572366364,15000,0,1,"n_uncor[9,2,9]"
"n_uncor[10,2,9]",2.24422611887401,1.83270969367877,0.390720966301479,1.0423534517438,1.74972236142316,2.84675781015603,7.06894206086743,1.01291323833832,368,0,1,"n_uncor[10,2,9]"
"n_uncor[11,2,9]",0.824440707850269,1.07110000694476,0.0482597688078101,0.241248940539355,0.508379191488149,1.00654425811166,3.47624552492614,1.00769847249937,1583,0,1,"n_uncor[11,2,9]"
"n_uncor[12,2,9]",0.0198125494770396,0.0646929919958388,1.06437343901488e-05,0.000581445946070207,0.00323964410621447,0.0141987996339364,0.14340804995023,1.01792043244591,9687,0,1,"n_uncor[12,2,9]"
"n_uncor[13,2,9]",0.241204348509504,0.440238192747572,0.000829988911865129,0.0234201272993842,0.0895176816193271,0.273428015857222,1.44239725808027,1.00074883942879,2983,0,1,"n_uncor[13,2,9]"
"n_uncor[1,3,9]",0.295010044540852,0.44979695318994,0.00759230022883524,0.0632085236405208,0.153908630288136,0.351599970824864,1.42043485469715,1.00815090254563,1601,0,1,"n_uncor[1,3,9]"
"n_uncor[2,3,9]",0.1617026660903,0.567900383500623,0.000128043377529229,0.005479041882156,0.0275257744075882,0.117303852171272,1.07360881726416,1.00038981163965,15000,0,1,"n_uncor[2,3,9]"
"n_uncor[3,3,9]",2.88763002949382,3.65125368643033,0.259739028435901,0.952844997079636,1.84975090531315,3.45811553321516,11.4950795525131,1.00198359826287,1153,0,1,"n_uncor[3,3,9]"
"n_uncor[4,3,9]",0.25437363628926,1.42778235083727,6.95353313094406e-05,0.00515035623312131,0.0290817084939008,0.132621788144008,1.72719040482665,1.1328125052142,1250,0,1,"n_uncor[4,3,9]"
"n_uncor[5,3,9]",1.66855025986833,2.49145281304868,0.0756534218279859,0.413991351645271,0.921368347625374,1.96631273241152,7.74729312747649,1.00444028960543,8608,0,1,"n_uncor[5,3,9]"
"n_uncor[6,3,9]",0.130341309457678,0.4228480015904,1.07672854887118e-05,0.00187378875114228,0.0161563770622141,0.0926092809106981,0.991870436709823,1.00419041261615,15000,0,1,"n_uncor[6,3,9]"
"n_uncor[7,3,9]",2.16280844636215,4.02638138214968,0.0410345110978423,0.331134650342196,0.9186516889746,2.36728449303351,11.9609114682326,1.00146776999657,2383,0,1,"n_uncor[7,3,9]"
"n_uncor[8,3,9]",0.39471668499672,2.74394404246056,5.1657341518685e-06,0.00158723193351187,0.0162492362954534,0.117828557072253,2.93071009483723,1.07346847311199,2324,0,1,"n_uncor[8,3,9]"
"n_uncor[9,3,9]",0.18177897250782,1.50298208422369,1.69443179681025e-05,0.00243638639145997,0.0162963974517087,0.0830516593529045,1.21930793843198,1.09294782193214,15000,0,1,"n_uncor[9,3,9]"
"n_uncor[10,3,9]",3.11888299724534,2.84708671279889,0.475029197247456,1.33863509721386,2.32559154747769,3.94486458735163,10.6150874479133,1.01201792613628,889,0,1,"n_uncor[10,3,9]"
