"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","species"
"1",2.18459303576919,0.751570538603949,1.2313763592507,1.66046052242581,2.02030463207178,2.51985840419631,4.09711361259924,1.01016598201683,453,0,1,"vis[1]",1,"AMGP"
"2",0.927179462552307,0.337593338799546,0.336642923543112,0.680960489343485,0.908031990660617,1.15568794213953,1.62061145569983,1.001505271257,1549,0,1,"vis[2]",2,"BASA"
"3",1.64018920172697,0.583006386023971,0.858706500911462,1.26837103322421,1.52545698983989,1.88123049742185,3.12745726507111,1.00153153778714,1807,0,1,"vis[3]",3,"BBPL"
"4",1.29228606717603,0.451139023856282,0.56453779241552,0.996271950098487,1.24763004320314,1.52750039635562,2.33495028267111,1.00230125721163,1294,0,1,"vis[4]",4,"BBSA"
"5",1.60753195312874,0.328580093309975,1.0705022430887,1.37823774873527,1.56987226220348,1.79815820582487,2.35225274644091,1.0001753291031,12397,0,1,"vis[5]",5,"DUNL"
"6",1.39490719260872,0.62365783339316,0.491848711320314,1.01494655416175,1.3071172420627,1.64290786313531,2.88335401914339,1.01454482127357,1151,0,1,"vis[6]",6,"LESA"
"7",1.01481419211647,0.18064585355383,0.695555046078398,0.886596653298194,1.00280012454067,1.12891026590197,1.40325610707476,1.00040290130665,5552,0,1,"vis[7]",7,"PESA"
"8",1.54050883514273,0.708218108874635,0.629821381189835,1.13167456576772,1.4168200874603,1.78273202216919,3.14302971308361,1.0091147479872,705,0,1,"vis[8]",8,"REKN"
"9",1.35954977908197,0.214111364327611,0.978888267585511,1.20942959309414,1.34542788108758,1.49424368355325,1.81325595501559,1.0003521949751,4890,0,1,"vis[9]",9,"REPH"
"10",1.44903645170977,0.217459858136382,1.06263202140698,1.29802485490816,1.43531769703386,1.58672367845347,1.91159740041352,1.00100238628109,1849,0,1,"vis[10]",10,"RNPH"
"11",2.01614513952681,0.943441961263458,0.974392131335314,1.43646342276875,1.77767201456645,2.30558259086478,4.53972945774169,1.00744258443765,624,0,1,"vis[11]",11,"RUTU"
"12",1.16107964102764,0.305730172716883,0.641027772028889,0.945417102021263,1.13934226140916,1.34589235631152,1.8242248636803,1.00549362449869,407,0,1,"vis[12]",12,"SAND"
"13",1.32065909572329,0.497134557588091,0.560282274077601,1.00223169984155,1.26334702683959,1.545956555102,2.49890869562731,1.00043264946662,15000,0,1,"vis[13]",13,"SEPL"
"14",2.04052681705834,0.323853303285759,1.47066843400873,1.81057597924417,2.02156017523887,2.24332664118506,2.73752103347272,1.00072069126973,4613,0,1,"vis[14]",14,"SESA"
"15",1.16111757476414,0.281795074762821,0.677134598676807,0.962459893924897,1.1392868897786,1.33263915295628,1.77751492532916,1.00098474802851,2123,0,1,"vis[15]",15,"STSA"
"16",1.98944078442636,0.865146029045575,0.975520949238302,1.43275623989261,1.77779474626579,2.29698918234355,4.236571459114,1.00037778837492,15000,0,1,"vis[16]",16,"WISN"
"17",1.18823914297749,0.195450420943021,0.838310893899663,1.05031386941675,1.17783333175537,1.31369687747331,1.59652015238534,1.00107214615744,2308,0,1,"vis[17]",17,"WRSA"
