"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","j_sub_region","species","Region"
"1",2489.89615564285,1865.84404980972,488.370225660026,1280.57751242669,2024.0438185386,3171.13951476526,7155.52697311981,1.00280391303967,3027,0,1,"Nr[1,1]",1,1,"AMGP","1.1"
"2",2137.09402849687,3546.64047990696,108.217043067178,567.496764897915,1218.52745641266,2505.97461545515,9559.77652349831,1.07639807954144,1156,0,1,"Nr[2,1]",2,1,"BASA","1.1"
"3",1393.3619345981,1656.06234195823,124.455340720673,491.899541901044,941.60723794694,1750.28466775032,5266.09057985889,1.00318158267135,2351,0,1,"Nr[3,1]",3,1,"BBPL","1.1"
"4",672.773316909543,1439.13911229597,13.2413821665818,120.246930385975,314.423240789328,746.279241866918,3451.6976409424,1.06516212690496,14100,0,1,"Nr[4,1]",4,1,"BBSA","1.1"
"5",7968.40596828895,5551.95941673736,2244.01268647708,4704.92166688391,6802.99323706058,9751.81623658772,20463.316553294,1.00372691389246,15000,0,1,"Nr[5,1]",5,1,"DUNL","1.1"
"6",13478.6605123657,12909.4738771496,3238.29198217626,7053.03675640859,10724.4259154732,16446.86554871,39624.3354112099,1.02850700970928,15000,0,1,"Nr[6,1]",6,1,"LESA","1.1"
"7",2277.52536785331,3357.80338085909,206.194141082991,822.38057413065,1548.01996341439,2786.31642904124,8003.4126550033,1.02720126557845,15000,0,1,"Nr[7,1]",7,1,"PESA","1.1"
"8",380.897803225945,1911.41708397065,5.46792176222785,56.7614231129339,159.420784368479,416.762666142221,1952.38719382678,1.24349851187543,6904,0,1,"Nr[8,1]",8,1,"REKN","1.1"
"9",5637.81654108061,238725.13552503,20.4037788911366,171.827948077159,445.937923028819,1029.68705145353,11734.321090703,1.2765873539354,9629,0,1,"Nr[9,1]",9,1,"REPH","1.1"
"10",3177.20514104164,17409.1731782228,364.163988451239,1221.7207015926,2131.7335397723,3668.39941909839,10495.2553140354,1.27677112528188,9397,0,1,"Nr[10,1]",10,1,"RNPH","1.1"
"11",969.99868125982,18233.1118656129,11.1681298934024,112.298465235928,307.532530601015,773.692679926138,4012.67866743071,1.27250998991361,15000,0,1,"Nr[11,1]",11,1,"RUTU","1.1"
"12",2018.66299927702,2955.30999237237,104.890334101827,552.72052443084,1184.37212068083,2383.46047591216,8954.55781212956,1.02158762516729,981,0,1,"Nr[12,1]",12,1,"SAND","1.1"
"13",43679.6631771009,33677.1558325853,10971.1397425931,22937.3461231794,34537.340128714,53113.0901294865,131223.977211745,1.00286229540537,2717,0,1,"Nr[13,1]",13,1,"SEPL","1.1"
"14",58076.6731488875,20307.222390584,29291.282286922,43981.9809464759,54640.3512172373,68267.20884685,106180.609665656,1.00066932294598,5091,0,1,"Nr[14,1]",14,1,"SESA","1.1"
"15",790.520219352836,1417.51019346304,29.3263300764145,202.022382515544,468.069933864567,964.057131922322,3358.46803908667,1.047558074514,15000,0,1,"Nr[15,1]",15,1,"STSA","1.1"
"16",5342.63034820432,3003.24612160389,1447.40563565124,3209.70886836441,4701.49280066803,6778.09075644355,12835.3587621884,1.00015470208334,12874,0,1,"Nr[16,1]",16,1,"WISN","1.1"
"17",32204.8897455298,79266.9661017048,12024.3957698481,20519.5113829451,27199.3303310345,36127.8896840099,65821.6007753293,1.08199558437422,15000,0,1,"Nr[17,1]",17,1,"WRSA","1.1"
"18",54779.3920139305,124077.85133245,3251.61826712498,12854.9658458633,26415.7285063681,56976.5419555693,275681.381277232,1.06645951568504,8170,0,1,"Nr[1,2]",1,2,"AMGP","1.2"
"19",73789.7200635007,293522.483759879,1282.13578178523,8345.8761952838,21013.2138125957,55688.8502026198,460923.099040812,1.03033921302816,8417,0,1,"Nr[2,2]",2,2,"BASA","1.2"
"20",25131.2327314087,77162.3373412876,361.273511932438,2670.81013928539,7178.49669470857,18993.0383287779,166140.18687005,1.01192002475669,8078,0,1,"Nr[3,2]",3,2,"BBPL","1.2"
"21",17667.5196795614,91987.9230170615,139.712191077363,1304.05204419133,3929.7479307112,11172.9489245406,106205.881619056,1.02634116951641,9099,0,1,"Nr[4,2]",4,2,"BBSA","1.2"
"22",102353.029473769,167795.962682127,14340.5817009796,38923.2420794451,65502.6320428345,112656.318809751,408865.623145664,1.00014077136677,15000,0,1,"Nr[5,2]",5,2,"DUNL","1.2"
"23",533267.277598159,664046.262228387,83131.219637945,218517.997793922,366463.120478605,624510.325562618,1984306.95007541,1.01668835434227,5191,0,1,"Nr[6,2]",6,2,"LESA","1.2"
"24",116092.309838288,295314.384807682,3434.50665804661,17962.5049856246,42633.0311146255,104247.996953236,709258.172043453,1.0187990302086,15000,0,1,"Nr[7,2]",7,2,"PESA","1.2"
"25",10132.4610096088,37526.4659632768,56.6995857827261,625.048194481582,2009.17689078904,6340.08883207073,71187.0730233558,1.00456497876871,15000,0,1,"Nr[8,2]",8,2,"REKN","1.2"
"26",41949.9094047554,114068.812369079,274.898677165399,3085.85041135356,9842.06287721181,32060.5532868023,302846.47177562,1.00638138346106,4000,0,1,"Nr[9,2]",9,2,"REPH","1.2"
"27",284156.591782247,322494.771725807,56794.0140925604,134999.520180277,211594.468753706,334876.861989963,954968.852927903,1.02182007172807,4399,0,1,"Nr[10,2]",10,2,"RNPH","1.2"
"28",38772.6832812738,375198.124820777,144.972414641789,1607.66762960155,5382.12530638274,18333.1408823651,246808.137668797,1.18238454598032,13693,0,1,"Nr[11,2]",11,2,"RUTU","1.2"
"29",33232.1418894714,150813.875279881,1007.08120937764,5623.90097635247,12360.3957428059,27823.4042313169,164267.056977132,1.11730767328443,4221,0,1,"Nr[12,2]",12,2,"SAND","1.2"
"30",1184893.45111289,1923944.78226867,104850.539906845,340727.081386802,653887.151244858,1281525.65806298,5422377.80460178,1.00946385629617,4155,0,1,"Nr[13,2]",13,2,"SEPL","1.2"
"31",5300400.94287895,5138946.32038835,1004734.11130541,2380091.35661251,3899574.63440613,6427072.18842268,17698058.2173699,1.00060246282033,15000,0,1,"Nr[14,2]",14,2,"SESA","1.2"
"32",23879.3232645181,91246.0240178684,361.444007096481,2663.26233237658,6846.36023967778,18371.5276921157,152049.403788473,1.02455972638905,15000,0,1,"Nr[15,2]",15,2,"STSA","1.2"
"33",35005.1114812842,39144.0063280872,6084.23851450515,15559.1500804987,25668.914174776,41555.8042122607,119998.612000968,1.00351835934169,13688,0,1,"Nr[16,2]",16,2,"WISN","1.2"
"34",98342.7681104955,298664.477313575,1225.13520908386,9232.64991679677,26206.1445174005,78099.9041949689,634597.531781997,1.01280087259643,6311,0,1,"Nr[17,2]",17,2,"WRSA","1.2"
"35",9705.2762188066,5563.08123303181,2780.54224594056,5790.69783281969,8437.80768087517,12109.2168164707,23904.6774782805,1.00144910288699,2220,0,1,"Nr[1,3]",1,3,"AMGP","2.1"
"36",118715.457709369,96762.7007997462,29838.7075186755,60494.8514780005,90910.2586445997,142696.72672704,372201.735760058,1.00075477400105,2947,0,1,"Nr[2,3]",2,3,"BASA","2.1"
"37",1009.94039717946,1394.39488764175,47.3219802608386,268.10674614547,601.217147081614,1243.12224037146,4477.66584381564,1.00887293798242,10325,0,1,"Nr[3,3]",3,3,"BBPL","2.1"
"38",909.808678465048,1713.94783028446,18.9148351782942,157.226111285113,402.170734612749,1001.31526950062,4876.86025668627,1.00193236901111,15000,0,1,"Nr[4,3]",4,3,"BBSA","2.1"
"39",2657.0894875729,2609.69391707083,301.33501978972,1074.74919220938,1959.25617143175,3363.9410008249,9136.18580890427,1.00025556261463,15000,0,1,"Nr[5,3]",5,3,"DUNL","2.1"
"40",1383.10064906669,2087.28153379243,55.2792023550561,327.802848056554,759.174601536287,1626.76960547538,6385.24304506672,1.000832461737,11600,0,1,"Nr[6,3]",6,3,"LESA","2.1"
"41",6575.14188337445,5225.09839125461,1160.14937786938,3256.19953518709,5230.11354654325,8317.50418023657,19770.3089108513,1.00043873135865,15000,0,1,"Nr[7,3]",7,3,"PESA","2.1"
"42",478.944945828944,916.430441971111,8.13032596187495,75.4457718265236,211.373903758544,537.724788085034,2553.23523586761,1.01772463296564,14457,0,1,"Nr[8,3]",8,3,"REKN","2.1"
"43",2146.98122883123,1952.12941364944,192.132312466099,822.179792795951,1596.53840277959,2831.07955031538,7275.00471796336,1.00006132101006,15000,0,1,"Nr[9,3]",9,3,"REPH","2.1"
"44",1214.24479054052,1861.38326813588,33.7575536605675,263.874732089147,651.935210684744,1448.24998074942,5774.88064983001,1.00667305829301,4423,0,1,"Nr[10,3]",10,3,"RNPH","2.1"
"45",1176.61289364606,3144.86733266842,17.2707240649605,161.710218147238,447.940017916214,1173.10193761639,6433.86979563843,1.01634349126099,8388,0,1,"Nr[11,3]",11,3,"RUTU","2.1"
"46",2201.27851872683,3221.11132556438,125.237023186219,641.080320453451,1302.24200193825,2582.04632636432,9677.21746513471,1.00258277666101,2345,0,1,"Nr[12,3]",12,3,"SAND","2.1"
"47",1256.17522039737,2363.24827699289,34.7223585194255,262.664810698168,647.16503135848,1453.47042216604,6059.04748636986,1.02915352621061,3522,0,1,"Nr[13,3]",13,3,"SEPL","2.1"
"48",1803.9324223305,1663.22838427795,213.778859926345,764.18308667694,1364.36809644238,2320.4977127363,6068.00468684433,1.00122228734563,8970,0,1,"Nr[14,3]",14,3,"SESA","2.1"
"49",1070.50888582077,1401.43018434548,45.9905307909864,276.773003141998,629.08445930516,1308.82784796132,4799.19623502918,1.00111268481077,15000,0,1,"Nr[15,3]",15,3,"STSA","2.1"
"50",462.131411333331,636.25631214602,15.2893343161987,108.847957127689,263.17933997228,561.775392161196,2125.88230279146,1.00041624744338,9849,0,1,"Nr[16,3]",16,3,"WISN","2.1"
"51",6712.85900853584,8976.83267616777,624.874471987719,2258.45794579188,4180.16282107497,7863.43189834237,27799.2607438928,1.0063357077932,15000,0,1,"Nr[17,3]",17,3,"WRSA","2.1"
"52",5383.16944955631,5849.85539315453,766.055542145801,2219.1874515817,3835.61815734262,6588.3309699184,19153.7883742925,1.00107764788053,15000,0,1,"Nr[1,4]",1,4,"AMGP","2.2"
"53",5083.38306794169,10451.8572444917,141.573192684959,875.55786472193,2132.34054291648,5176.08609742387,28973.3138460135,1.00255259844447,15000,0,1,"Nr[2,4]",2,4,"BASA","2.2"
"54",4090.40372596605,6146.67009936995,363.837598570205,1273.88645966907,2429.15968674359,4733.26734504359,17448.805410016,1.0109093605024,11763,0,1,"Nr[3,4]",3,4,"BBPL","2.2"
