"","mean","sd","lci","lqrt","med","uqrt","uci","Rhat","n.eff","overlap0","f","node","j_species","habitat","j_sub_region","species","Region"
"1",1658.49587259987,1458.54428032973,219.575968688674,716.720115289771,1243.23877699527,2138.75564506777,5576.36343028202,1.00117763521382,3809,0,1,"n[1,1,1]",1,"1",1,"AMGP","1.1"
"2",957.311542721669,2260.84804166906,9.59442183148659,123.618561717284,375.807333991512,1008.67229820971,5385.06469229096,1.07437804361268,1388,0,1,"n[2,1,1]",2,"1",1,"BASA","1.1"
"3",1000.22975515992,1292.94342695338,44.1161205027296,266.710319703339,605.534553920418,1252.71373903466,4263.30794714452,1.00071577529529,2876,0,1,"n[3,1,1]",3,"1",1,"BBPL","1.1"
"4",334.059201727,829.341557527047,0.885598997746053,23.9922867087173,94.3479675048562,315.527859440411,2115.23973286933,1.00266806969567,9046,0,1,"n[4,1,1]",4,"1",1,"BBSA","1.1"
"5",5067.75137226975,3931.53538006147,994.969458857918,2527.7296328728,4039.56462508015,6346.09005775113,15316.0511496351,1.00107919061447,8752,0,1,"n[5,1,1]",5,"1",1,"DUNL","1.1"
"6",6286.97743354761,5697.44282653298,1125.57295538616,2913.4412796586,4754.76665157623,7778.85969288796,20559.250308446,1.00408067326272,13160,0,1,"n[6,1,1]",6,"1",1,"LESA","1.1"
"7",944.19840055478,1281.13598099229,21.4969952841373,201.421924093689,521.324335911942,1167.3036131982,4435.72292811085,1.00038222123794,8950,0,1,"n[7,1,1]",7,"1",1,"PESA","1.1"
"8",161.958575052764,385.034239849318,0.213322109665675,8.45722197105013,39.583114422515,145.520878179932,1106.78294953611,1.00535222464693,3049,0,1,"n[8,1,1]",8,"1",1,"REKN","1.1"
"9",258.242349601273,475.053522981779,0.491635269591239,19.1585672576321,86.0164382852056,289.904176901492,1539.66710451898,1.00134011394206,15000,0,1,"n[9,1,1]",9,"1",1,"REPH","1.1"
"10",2440.27917815514,2453.72229760659,225.383259120131,902.905919815818,1689.2587675181,3105.90664742492,9083.96392222605,1.00104679285678,9620,0,1,"n[10,1,1]",10,"1",1,"RNPH","1.1"
"11",312.861739433412,817.468150525376,0.44256467862074,16.8849182041549,79.7250208188504,284.077167582393,2127.64540916426,1.00760178745484,5261,0,1,"n[11,1,1]",11,"1",1,"RUTU","1.1"
"12",986.084008893817,2057.09795299773,13.2944604600933,152.783322514369,425.089114453921,1054.43940034208,5209.83569705895,1.03999708942305,2015,0,1,"n[12,1,1]",12,"1",1,"SAND","1.1"
"13",37272.1266727538,31051.5713725403,8238.18661132454,18388.8909349849,28732.1428877733,45419.1101229602,118668.598975016,1.00272063958289,2899,0,1,"n[13,1,1]",13,"1",1,"SEPL","1.1"
"14",42948.6527250699,17691.3529953848,18477.3686027785,30502.7908165712,39614.3406143741,51546.3503440586,86200.6022574363,1.00048400807442,4740,0,1,"n[14,1,1]",14,"1",1,"SESA","1.1"
"15",350.500702510867,627.807723647682,2.13292798679776,40.421122854129,138.868226307728,399.062896843034,2001.93654506758,1.00022641907675,15000,0,1,"n[15,1,1]",15,"1",1,"STSA","1.1"
"16",1528.91404373681,1275.73434564562,201.824024616976,680.645801314183,1190.83477026032,1971.24780883446,4770.53274528239,1.00051097135771,10535,0,1,"n[16,1,1]",16,"1",1,"WISN","1.1"
"17",21844.2953294267,11220.8513674711,7355.47216118876,14069.0877820244,19452.5074365907,27005.7975379553,50238.4243534628,1.00074289256166,5840,0,1,"n[17,1,1]",17,"1",1,"WRSA","1.1"
"18",157.976749026876,686.775112204338,1.18292916157067,12.2850210154076,37.4917700655683,114.990562674172,974.505338002498,1.09251237829258,4331,0,1,"n[1,2,1]",1,"2",1,"AMGP","1.1"
"19",144.085521800682,1845.24177763677,0.150089189859105,2.98388600737181,12.4752308762855,49.7681299933371,769.598189627051,1.20780388284543,15000,0,1,"n[2,2,1]",2,"2",1,"BASA","1.1"
"20",60.9300760548485,766.261572111862,0.0336299661447086,0.803316547803137,3.74379848169643,16.8343753163761,333.390896972203,1.06325318684873,14702,0,1,"n[3,2,1]",3,"2",1,"BBPL","1.1"
"21",55.0858084563362,958.77427265924,0.00893126701254604,0.355209534498848,1.96785643858099,9.75919473855949,255.483561795528,1.23535097715238,4094,0,1,"n[4,2,1]",4,"2",1,"BBSA","1.1"
"22",259.027723128094,3018.63741962184,0.145053143656397,3.19041861545338,15.5672946574471,72.6020030761153,1344.75393487406,1.07044799440577,15000,0,1,"n[5,2,1]",5,"2",1,"DUNL","1.1"
"23",180.122848327226,7779.74539448849,0.0298372597134791,0.883086467002017,4.64609022399094,22.8074332994599,512.635422435122,1.23527326173117,15000,0,1,"n[6,2,1]",6,"2",1,"LESA","1.1"
"24",408.358995229923,2847.60618743851,0.52427035929803,9.36468258756236,39.7851680344323,166.351755296204,2561.73024721567,1.05396351001736,14578,0,1,"n[7,2,1]",7,"2",1,"PESA","1.1"
"25",40.2575478138283,1815.24919326834,0.0024127423891567,0.121338387272027,0.747956956194979,4.53247969823231,121.392784007129,1.27114395723527,15000,0,1,"n[8,2,1]",8,"2",1,"REKN","1.1"
"26",5125.54612001697,238713.396054092,0.0114994668687024,1.29106739725189,12.6655918455447,127.454289727734,11028.3464302945,1.27658721849858,9616,0,1,"n[9,2,1]",9,"2",1,"REPH","1.1"
"27",393.984073125643,17224.7462942892,0.0137725279212659,0.631100544581383,4.17031111955489,27.4749329972161,1013.55659906707,1.28442115813944,9333,0,1,"n[10,2,1]",10,"2",1,"RNPH","1.1"
"28",373.986086877424,18205.1137778745,0.00700451074263818,0.401125046819725,2.81943541568844,20.381245427883,966.992656901239,1.27379703342408,15000,0,1,"n[11,2,1]",11,"2",1,"RUTU","1.1"
"29",31.6983482156837,231.200311707656,0.135695928973271,1.90221798205911,6.17624099896249,19.1927297039455,188.859491337241,1.13188840924073,7653,0,1,"n[12,2,1]",12,"2",1,"SAND","1.1"
"30",79.7051339440402,1484.50808537466,0.0181470998845587,0.598585984925051,3.42478417766586,18.4239511329674,412.425789875037,1.12913434819112,15000,0,1,"n[13,2,1]",13,"2",1,"SEPL","1.1"
"31",511.209963974052,4835.23994842739,0.538908876237278,9.48879279561013,42.3412582139572,173.067878144936,2889.89235287198,1.03181505896282,15000,0,1,"n[14,2,1]",14,"2",1,"SESA","1.1"
"32",72.2650287889829,1084.63546705918,0.0300241961603604,0.808215487892669,3.94022920720585,18.2732208408657,374.384824937117,1.12559215870659,15000,0,1,"n[15,2,1]",15,"2",1,"STSA","1.1"
"33",13.8786526716237,168.255468701152,0.00364260082024853,0.12912043121463,0.688601035628428,3.48725264576687,69.6556455987983,1.00450558613878,15000,0,1,"n[16,2,1]",16,"2",1,"WISN","1.1"
"34",3555.56596804382,78199.4905763177,0.134307814523509,6.85115153571996,48.7176363534033,324.814801576085,13901.1095815974,1.08686554801841,15000,0,1,"n[17,2,1]",17,"2",1,"WRSA","1.1"
"35",673.423534016104,742.362113206186,38.152957404769,209.482978671054,445.605730910279,873.386577560233,2679.91872194588,1.00036817343529,15000,0,1,"n[1,3,1]",1,"3",1,"AMGP","1.1"
"36",1035.69696397452,1785.05105943968,13.1874634235759,157.350849571681,453.237357608056,1155.15188703448,5738.81385931388,1.00632188509394,3204,0,1,"n[2,3,1]",2,"3",1,"BASA","1.1"
"37",332.202103383333,555.797661510601,2.5728525200774,43.4183652330794,139.450277000361,379.650304287392,1840.10245079641,1.00232790734999,9488,0,1,"n[3,3,1]",3,"3",1,"BBPL","1.1"
"38",283.628306726207,624.061985938207,0.669427705109368,19.1195130120989,81.0104892855782,279.49287347217,1894.52007366999,1.00224737927707,3404,0,1,"n[4,3,1]",4,"3",1,"BBSA","1.1"
"39",2641.62687289111,2123.41840899536,383.562984100592,1221.52260170317,2080.56277083869,3401.09134314926,8163.89430176317,1.00025067194828,15000,0,1,"n[5,3,1]",5,"3",1,"DUNL","1.1"
